Text-values,Numerical-values
Notification 220414887 locked by E0015181,[[ 11 949  10  31 427]]
Notification 210299643 locked by E0021813,[[ 11 462  10  31 505]]
Notification 210299867 locked by E0019184,[[ 11 950  10  31 435]]
Notification 210293396 locked by E0021774,[[ 11 951  10  31 432]]
Notification 220412972 locked by E0025563,[[ 11 952  10  31 428]]
Notification 220413253 locked by E0011753,[[ 11 953  10  31 433]]
Notification 220411522 locked by E0020995,[[ 11 954  10  31 434]]
Notification 2000705870 locked by E0020995,[[ 11 955  10  31 434]]
Notification 210299742 locked by E0019184,[[ 11 956  10  31 435]]
Notification 300689490 locked by E0017856,[[ 11 957  10  31 958]]
Notification 210299136 locked by E0025563,[[ 11 959  10  31 428]]
Notification 2000706506 locked by E0025563,[[ 11 463  10  31 428]]
Notification 000210298148 is not locked,[[ 11 960   2   4  10]]
Notification 000220412933 is not locked,[[ 11 961   2   4  10]]
Notification 000210297932 is not locked,[[ 11 962   2   4  10]]
Notification 000210297961 is not locked,[[ 11 963   2   4  10]]
Notification 000210293512 is not locked,[[ 11 964   2   4  10]]
Notification 000210301242 is not locked,[[ 11 965   2   4  10]]
Notification 000210298246 is not locked,[[ 11 966   2   4  10]]
Notification 000210298454 is not locked,[[ 11 967   2   4  10]]
Notification 000210298455 is not locked,[[ 11 968   2   4  10]]
Notification 000220415596 is not locked,[[ 11 969   2   4  10]]
Notification 000210300546 is not locked,[[ 11 970   2   4  10]]
Notification 000220414758 is not locked,[[ 11 971   2   4  10]]
Notification 000210300814 is not locked,[[ 11 972   2   4  10]]
Notification 000220409505 is not locked,[[ 11 973   2   4  10]]
Notification 000210297957 is not locked,[[ 11 974   2   4  10]]
Notification 000210298695 is not locked,[[ 11 975   2   4  10]]
Notification 000220414276 is not locked,[[ 11 510   2   4  10]]
Notification 000220412261 is not locked,[[ 11 976   2   4  10]]
Notification 000210300923 is not locked,[[ 11 977   2   4  10]]
Notification 000210300889 is not locked,[[ 11 978   2   4  10]]
Notification 000210300971 is not locked,[[ 11 979   2   4  10]]
Notification 000210301173 is not locked,[[ 11 980   2   4  10]]
Notification 000210301181 is not locked,[[ 11 981   2   4  10]]
Notification 000210301178 is not locked,[[ 11 982   2   4  10]]
Notification 000210297059 is not locked,[[ 11 983   2   4  10]]
Notification 000220409369 is not locked,[[ 11 984   2   4  10]]
Notification 000210293923 is not locked,[[ 11 511   2   4  10]]
Notification 000210297832 is not locked,[[ 11 512   2   4  10]]
Notification 000210298908 is not locked,[[ 11 985   2   4  10]]
Notification 000220413759 is not locked,[[ 11 986   2   4  10]]
Notification 000220412786 is not locked,[[ 11 987   2   4  10]]
Notification 000210299923 is not locked,[[ 11 988   2   4  10]]
Notification 000220415341 is not locked,[[ 11 989   2   4  10]]
Notification 000210301533 is not locked,[[ 11 990   2   4  10]]
Notification 000210295191 is not locked,[[ 11 991   2   4  10]]
Notification 000210295925 is not locked,[[ 11 992   2   4  10]]
Notification 000210297293 is not locked,[[ 11 993   2   4  10]]
Notification 000210296602 is not locked,[[ 11 994   2   4  10]]
Notification 000210294834 is not locked,[[ 11 995   2   4  10]]
Notification 000210301431 is not locked,[[ 11 996   2   4  10]]
Notification 000220414442 is not locked,[[ 11 997   2   4  10]]
